sequence,entry_id,entry_type,license,source_anchor,companion_anchor,statement_id,hint_id,answer_id,solution_id,status
21,o003-c90-ch14-guide-21,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_top_invar-task-01,o003-c90-ch14-guide-21,o003-c90-ch14-guide-21,o003-c90-ch14-guide-21-hint,o003-c90-ch14-guide-21-answer,o003-c90-ch14-guide-21-solution,staged_support_complete
22,o003-c90-ch14-guide-22,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_top_invar-task-02,o003-c90-ch14-guide-22,o003-c90-ch14-guide-22,o003-c90-ch14-guide-22-hint,o003-c90-ch14-guide-22-answer,o003-c90-ch14-guide-22-solution,staged_support_complete
23,o003-c90-ch14-guide-23,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_top_invar-task-03,o003-c90-ch14-guide-23,o003-c90-ch14-guide-23,o003-c90-ch14-guide-23-hint,o003-c90-ch14-guide-23-answer,o003-c90-ch14-guide-23-solution,staged_support_complete
24,o003-c90-ch14-guide-24,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_top_invar-task-04,o003-c90-ch14-guide-24,o003-c90-ch14-guide-24,o003-c90-ch14-guide-24-hint,o003-c90-ch14-guide-24-answer,o003-c90-ch14-guide-24-solution,staged_support_complete
25,o003-c90-ch14-guide-25,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_top_invar-task-05,o003-c90-ch14-guide-25,o003-c90-ch14-guide-25,o003-c90-ch14-guide-25-hint,o003-c90-ch14-guide-25-answer,o003-c90-ch14-guide-25-solution,staged_support_complete
26,o003-c90-ch14-exer-a-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-ex_isometry_reverse-statement-01,o003-c90-ch14-exer-a-01,o003-c90-ch14-exer-a-01,o003-c90-ch14-exer-a-01-hint,o003-c90-ch14-exer-a-01-answer,o003-c90-ch14-exer-a-01-solution,staged_support_complete
27,o003-c90-ch14-exer-a-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-01,o003-c90-ch14-exer-a-02,o003-c90-ch14-exer-a-02,o003-c90-ch14-exer-a-02-hint,o003-c90-ch14-exer-a-02-answer,o003-c90-ch14-exer-a-02-solution,staged_support_complete
28,o003-c90-ch14-exer-a-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-02,o003-c90-ch14-exer-a-03,o003-c90-ch14-exer-a-03,o003-c90-ch14-exer-a-03-hint,o003-c90-ch14-exer-a-03-answer,o003-c90-ch14-exer-a-03-solution,staged_support_complete
29,o003-c90-ch14-exer-a-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-03,o003-c90-ch14-exer-a-04,o003-c90-ch14-exer-a-04,o003-c90-ch14-exer-a-04-hint,o003-c90-ch14-exer-a-04-answer,o003-c90-ch14-exer-a-04-solution,staged_support_complete
30,o003-c90-ch14-exer-a-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-ex_me_implies_te-statement-01,o003-c90-ch14-exer-a-05,o003-c90-ch14-exer-a-05,o003-c90-ch14-exer-a-05-hint,o003-c90-ch14-exer-a-05-answer,o003-c90-ch14-exer-a-05-solution,staged_support_complete
31,o003-c90-ch14-exer-a-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-ex_closed_sets_continuity_TS-statement-01,o003-c90-ch14-exer-a-06,o003-c90-ch14-exer-a-06,o003-c90-ch14-exer-a-06-hint,o003-c90-ch14-exer-a-06-answer,o003-c90-ch14-exer-a-06-solution,staged_support_complete
32,o003-c90-ch14-exer-a-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-04,o003-c90-ch14-exer-a-07,o003-c90-ch14-exer-a-07,o003-c90-ch14-exer-a-07-hint,o003-c90-ch14-exer-a-07-answer,o003-c90-ch14-exer-a-07-solution,staged_support_complete
33,o003-c90-ch14-exer-a-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-05,o003-c90-ch14-exer-a-08,o003-c90-ch14-exer-a-08,o003-c90-ch14-exer-a-08-hint,o003-c90-ch14-exer-a-08-answer,o003-c90-ch14-exer-a-08-solution,staged_support_complete
34,o003-c90-ch14-exer-a-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-06,o003-c90-ch14-exer-a-09,o003-c90-ch14-exer-a-09,o003-c90-ch14-exer-a-09-hint,o003-c90-ch14-exer-a-09-answer,o003-c90-ch14-exer-a-09-solution,staged_support_complete
35,o003-c90-ch14-exer-a-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-07,o003-c90-ch14-exer-a-10,o003-c90-ch14-exer-a-10,o003-c90-ch14-exer-a-10-hint,o003-c90-ch14-exer-a-10-answer,o003-c90-ch14-exer-a-10-solution,staged_support_complete
36,o003-c90-ch14-exer-b-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-08,o003-c90-ch14-exer-b-01,o003-c90-ch14-exer-b-01,o003-c90-ch14-exer-b-01-hint,o003-c90-ch14-exer-b-01-answer,o003-c90-ch14-exer-b-01-solution,staged_support_complete
37,o003-c90-ch14-exer-b-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-09,o003-c90-ch14-exer-b-02,o003-c90-ch14-exer-b-02,o003-c90-ch14-exer-b-02-hint,o003-c90-ch14-exer-b-02-answer,o003-c90-ch14-exer-b-02-solution,staged_support_complete
38,o003-c90-ch14-exer-b-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-10,o003-c90-ch14-exer-b-03,o003-c90-ch14-exer-b-03,o003-c90-ch14-exer-b-03-hint,o003-c90-ch14-exer-b-03-answer,o003-c90-ch14-exer-b-03-solution,staged_support_complete
39,o003-c90-ch14-exer-b-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-11,o003-c90-ch14-exer-b-04,o003-c90-ch14-exer-b-04,o003-c90-ch14-exer-b-04-hint,o003-c90-ch14-exer-b-04-answer,o003-c90-ch14-exer-b-04-solution,staged_support_complete
40,o003-c90-ch14-exer-b-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-12,o003-c90-ch14-exer-b-05,o003-c90-ch14-exer-b-05,o003-c90-ch14-exer-b-05-hint,o003-c90-ch14-exer-b-05-answer,o003-c90-ch14-exer-b-05-solution,staged_support_complete
41,o003-c90-ch14-exer-b-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-13,o003-c90-ch14-exer-b-06,o003-c90-ch14-exer-b-06,o003-c90-ch14-exer-b-06-hint,o003-c90-ch14-exer-b-06-answer,o003-c90-ch14-exer-b-06-solution,staged_support_complete
42,o003-c90-ch14-exer-b-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-14,o003-c90-ch14-exer-b-07,o003-c90-ch14-exer-b-07,o003-c90-ch14-exer-b-07-hint,o003-c90-ch14-exer-b-07-answer,o003-c90-ch14-exer-b-07-solution,staged_support_complete
43,o003-c90-ch14-exer-b-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-15,o003-c90-ch14-exer-b-08,o003-c90-ch14-exer-b-08,o003-c90-ch14-exer-b-08-hint,o003-c90-ch14-exer-b-08-answer,o003-c90-ch14-exer-b-08-solution,staged_support_complete
44,o003-c90-ch14-exer-b-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-16,o003-c90-ch14-exer-b-09,o003-c90-ch14-exer-b-09,o003-c90-ch14-exer-b-09-hint,o003-c90-ch14-exer-b-09-answer,o003-c90-ch14-exer-b-09-solution,staged_support_complete
45,o003-c90-ch14-exer-b-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-17,o003-c90-ch14-exer-b-10,o003-c90-ch14-exer-b-10,o003-c90-ch14-exer-b-10-hint,o003-c90-ch14-exer-b-10-answer,o003-c90-ch14-exer-b-10-solution,staged_support_complete
46,o003-c90-ch14-exer-c-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-18,o003-c90-ch14-exer-c-01,o003-c90-ch14-exer-c-01,o003-c90-ch14-exer-c-01-hint,o003-c90-ch14-exer-c-01-answer,o003-c90-ch14-exer-c-01-solution,staged_support_complete
47,o003-c90-ch14-exer-c-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-19,o003-c90-ch14-exer-c-02,o003-c90-ch14-exer-c-02,o003-c90-ch14-exer-c-02-hint,o003-c90-ch14-exer-c-02-answer,o003-c90-ch14-exer-c-02-solution,staged_support_complete
48,o003-c90-ch14-exer-c-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-20,o003-c90-ch14-exer-c-03,o003-c90-ch14-exer-c-03,o003-c90-ch14-exer-c-03-hint,o003-c90-ch14-exer-c-03-answer,o003-c90-ch14-exer-c-03-solution,staged_support_complete
49,o003-c90-ch14-exer-c-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-21,o003-c90-ch14-exer-c-04,o003-c90-ch14-exer-c-04,o003-c90-ch14-exer-c-04-hint,o003-c90-ch14-exer-c-04-answer,o003-c90-ch14-exer-c-04-solution,staged_support_complete
50,o003-c90-ch14-exer-c-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-22,o003-c90-ch14-exer-c-05,o003-c90-ch14-exer-c-05,o003-c90-ch14-exer-c-05-hint,o003-c90-ch14-exer-c-05-answer,o003-c90-ch14-exer-c-05-solution,staged_support_complete
51,o003-c90-ch14-exer-c-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-23,o003-c90-ch14-exer-c-06,o003-c90-ch14-exer-c-06,o003-c90-ch14-exer-c-06-hint,o003-c90-ch14-exer-c-06-answer,o003-c90-ch14-exer-c-06-solution,staged_support_complete
52,o003-c90-ch14-exer-c-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-24,o003-c90-ch14-exer-c-07,o003-c90-ch14-exer-c-07,o003-c90-ch14-exer-c-07-hint,o003-c90-ch14-exer-c-07-answer,o003-c90-ch14-exer-c-07-solution,staged_support_complete
53,o003-c90-ch14-exer-c-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-25,o003-c90-ch14-exer-c-08,o003-c90-ch14-exer-c-08,o003-c90-ch14-exer-c-08-hint,o003-c90-ch14-exer-c-08-answer,o003-c90-ch14-exer-c-08-solution,staged_support_complete
54,o003-c90-ch14-exer-c-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-26,o003-c90-ch14-exer-c-09,o003-c90-ch14-exer-c-09,o003-c90-ch14-exer-c-09-hint,o003-c90-ch14-exer-c-09-answer,o003-c90-ch14-exer-c-09-solution,staged_support_complete
55,o003-c90-ch14-exer-c-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-27,o003-c90-ch14-exer-c-10,o003-c90-ch14-exer-c-10,o003-c90-ch14-exer-c-10-hint,o003-c90-ch14-exer-c-10-answer,o003-c90-ch14-exer-c-10-solution,staged_support_complete
56,o003-c90-ch14-exer-d-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-28,o003-c90-ch14-exer-d-01,o003-c90-ch14-exer-d-01,o003-c90-ch14-exer-d-01-hint,o003-c90-ch14-exer-d-01-answer,o003-c90-ch14-exer-d-01-solution,staged_support_complete
57,o003-c90-ch14-exer-d-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-29,o003-c90-ch14-exer-d-02,o003-c90-ch14-exer-d-02,o003-c90-ch14-exer-d-02-hint,o003-c90-ch14-exer-d-02-answer,o003-c90-ch14-exer-d-02-solution,staged_support_complete
58,o003-c90-ch14-exer-d-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-30,o003-c90-ch14-exer-d-03,o003-c90-ch14-exer-d-03,o003-c90-ch14-exer-d-03-hint,o003-c90-ch14-exer-d-03-answer,o003-c90-ch14-exer-d-03-solution,staged_support_complete
59,o003-c90-ch14-exer-d-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-31,o003-c90-ch14-exer-d-04,o003-c90-ch14-exer-d-04,o003-c90-ch14-exer-d-04-hint,o003-c90-ch14-exer-d-04-answer,o003-c90-ch14-exer-d-04-solution,staged_support_complete
60,o003-c90-ch14-exer-d-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-32,o003-c90-ch14-exer-d-05,o003-c90-ch14-exer-d-05,o003-c90-ch14-exer-d-05-hint,o003-c90-ch14-exer-d-05-answer,o003-c90-ch14-exer-d-05-solution,staged_support_complete
61,o003-c90-ch14-exer-d-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-33,o003-c90-ch14-exer-d-06,o003-c90-ch14-exer-d-06,o003-c90-ch14-exer-d-06-hint,o003-c90-ch14-exer-d-06-answer,o003-c90-ch14-exer-d-06-solution,staged_support_complete
62,o003-c90-ch14-exer-d-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-34,o003-c90-ch14-exer-d-07,o003-c90-ch14-exer-d-07,o003-c90-ch14-exer-d-07-hint,o003-c90-ch14-exer-d-07-answer,o003-c90-ch14-exer-d-07-solution,staged_support_complete
63,o003-c90-ch14-exer-d-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-35,o003-c90-ch14-exer-d-08,o003-c90-ch14-exer-d-08,o003-c90-ch14-exer-d-08-hint,o003-c90-ch14-exer-d-08-answer,o003-c90-ch14-exer-d-08-solution,staged_support_complete
64,o003-c90-ch14-exer-d-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-36,o003-c90-ch14-exer-d-09,o003-c90-ch14-exer-d-09,o003-c90-ch14-exer-d-09-hint,o003-c90-ch14-exer-d-09-answer,o003-c90-ch14-exer-d-09-solution,staged_support_complete
65,o003-c90-ch14-exer-d-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-37,o003-c90-ch14-exer-d-10,o003-c90-ch14-exer-d-10,o003-c90-ch14-exer-d-10-hint,o003-c90-ch14-exer-d-10-answer,o003-c90-ch14-exer-d-10-solution,staged_support_complete
66,o003-c90-ch14-exer-e-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-38,o003-c90-ch14-exer-e-01,o003-c90-ch14-exer-e-01,o003-c90-ch14-exer-e-01-hint,o003-c90-ch14-exer-e-01-answer,o003-c90-ch14-exer-e-01-solution,staged_support_complete
67,o003-c90-ch14-exer-e-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-39,o003-c90-ch14-exer-e-02,o003-c90-ch14-exer-e-02,o003-c90-ch14-exer-e-02-hint,o003-c90-ch14-exer-e-02-answer,o003-c90-ch14-exer-e-02-solution,staged_support_complete
68,o003-c90-ch14-exer-e-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-40,o003-c90-ch14-exer-e-03,o003-c90-ch14-exer-e-03,o003-c90-ch14-exer-e-03-hint,o003-c90-ch14-exer-e-03-answer,o003-c90-ch14-exer-e-03-solution,staged_support_complete
69,o003-c90-ch14-exer-e-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-41,o003-c90-ch14-exer-e-04,o003-c90-ch14-exer-e-04,o003-c90-ch14-exer-e-04-hint,o003-c90-ch14-exer-e-04-answer,o003-c90-ch14-exer-e-04-solution,staged_support_complete
70,o003-c90-ch14-exer-e-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-42,o003-c90-ch14-exer-e-05,o003-c90-ch14-exer-e-05,o003-c90-ch14-exer-e-05-hint,o003-c90-ch14-exer-e-05-answer,o003-c90-ch14-exer-e-05-solution,staged_support_complete
71,o003-c90-ch14-exer-e-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-43,o003-c90-ch14-exer-e-06,o003-c90-ch14-exer-e-06,o003-c90-ch14-exer-e-06-hint,o003-c90-ch14-exer-e-06-answer,o003-c90-ch14-exer-e-06-solution,staged_support_complete
72,o003-c90-ch14-exer-e-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-44,o003-c90-ch14-exer-e-07,o003-c90-ch14-exer-e-07,o003-c90-ch14-exer-e-07-hint,o003-c90-ch14-exer-e-07-answer,o003-c90-ch14-exer-e-07-solution,staged_support_complete
73,o003-c90-ch14-exer-e-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-45,o003-c90-ch14-exer-e-08,o003-c90-ch14-exer-e-08,o003-c90-ch14-exer-e-08-hint,o003-c90-ch14-exer-e-08-answer,o003-c90-ch14-exer-e-08-solution,staged_support_complete
74,o003-c90-ch14-exer-e-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-46,o003-c90-ch14-exer-e-09,o003-c90-ch14-exer-e-09,o003-c90-ch14-exer-e-09-hint,o003-c90-ch14-exer-e-09-answer,o003-c90-ch14-exer-e-09-solution,staged_support_complete
75,o003-c90-ch14-exer-e-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-statement-01,o003-c90-ch14-exer-e-10,o003-c90-ch14-exer-e-10,o003-c90-ch14-exer-e-10-hint,o003-c90-ch14-exer-e-10-answer,o003-c90-ch14-exer-e-10-solution,staged_support_complete
76,o003-c90-ch14-exer-f-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-47,o003-c90-ch14-exer-f-01,o003-c90-ch14-exer-f-01,o003-c90-ch14-exer-f-01-hint,o003-c90-ch14-exer-f-01-answer,o003-c90-ch14-exer-f-01-solution,staged_support_complete
77,o003-c90-ch14-exer-f-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-48,o003-c90-ch14-exer-f-02,o003-c90-ch14-exer-f-02,o003-c90-ch14-exer-f-02-hint,o003-c90-ch14-exer-f-02-answer,o003-c90-ch14-exer-f-02-solution,staged_support_complete
78,o003-c90-ch14-exer-f-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-49,o003-c90-ch14-exer-f-03,o003-c90-ch14-exer-f-03,o003-c90-ch14-exer-f-03-hint,o003-c90-ch14-exer-f-03-answer,o003-c90-ch14-exer-f-03-solution,staged_support_complete
79,o003-c90-ch14-exer-f-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-50,o003-c90-ch14-exer-f-04,o003-c90-ch14-exer-f-04,o003-c90-ch14-exer-f-04-hint,o003-c90-ch14-exer-f-04-answer,o003-c90-ch14-exer-f-04-solution,staged_support_complete
80,o003-c90-ch14-exer-f-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-51,o003-c90-ch14-exer-f-05,o003-c90-ch14-exer-f-05,o003-c90-ch14-exer-f-05-hint,o003-c90-ch14-exer-f-05-answer,o003-c90-ch14-exer-f-05-solution,staged_support_complete
81,o003-c90-ch14-exer-f-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch14-sec_cont_top_exer-task-52,o003-c90-ch14-exer-f-06,o003-c90-ch14-exer-f-06,o003-c90-ch14-exer-f-06-hint,o003-c90-ch14-exer-f-06-answer,o003-c90-ch14-exer-f-06-solution,staged_support_complete
82,o003-c90-ch14-mastery-01,original_mastery,CC BY 4.0,,o003-c90-ch14-mastery-01,o003-c90-ch14-mastery-01,o003-c90-ch14-mastery-01-hint,o003-c90-ch14-mastery-01-answer,o003-c90-ch14-mastery-01-solution,staged_support_complete
83,o003-c90-ch14-mastery-02,original_mastery,CC BY 4.0,,o003-c90-ch14-mastery-02,o003-c90-ch14-mastery-02,o003-c90-ch14-mastery-02-hint,o003-c90-ch14-mastery-02-answer,o003-c90-ch14-mastery-02-solution,staged_support_complete
84,o003-c90-ch14-mastery-03,original_mastery,CC BY 4.0,,o003-c90-ch14-mastery-03,o003-c90-ch14-mastery-03,o003-c90-ch14-mastery-03-hint,o003-c90-ch14-mastery-03-answer,o003-c90-ch14-mastery-03-solution,staged_support_complete
85,o003-c90-ch14-mastery-04,original_mastery,CC BY 4.0,,o003-c90-ch14-mastery-04,o003-c90-ch14-mastery-04,o003-c90-ch14-mastery-04-hint,o003-c90-ch14-mastery-04-answer,o003-c90-ch14-mastery-04-solution,staged_support_complete
86,o003-c90-ch14-mastery-05,original_mastery,CC BY 4.0,,o003-c90-ch14-mastery-05,o003-c90-ch14-mastery-05,o003-c90-ch14-mastery-05-hint,o003-c90-ch14-mastery-05-answer,o003-c90-ch14-mastery-05-solution,staged_support_complete
