entry_id,source_anchor,statement_id,hint_id,answer_id,solution_id,status
o003-c90-ch12-guide-11,o003-gvsu-ch12-act_top_basis-prompt-01,o003-c90-ch12-guide-11-statement,o003-c90-ch12-guide-11-hint,o003-c90-ch12-guide-11-answer,o003-c90-ch12-guide-11-solution,staged_support_complete
o003-c90-ch12-guide-12,o003-gvsu-ch12-act_Basis-prompt-01,o003-c90-ch12-guide-12-statement,o003-c90-ch12-guide-12-hint,o003-c90-ch12-guide-12-answer,o003-c90-ch12-guide-12-solution,staged_support_complete
o003-c90-ch12-guide-13,o003-gvsu-ch12-act_Basis-prompt-02,o003-c90-ch12-guide-13-statement,o003-c90-ch12-guide-13-hint,o003-c90-ch12-guide-13-answer,o003-c90-ch12-guide-13-solution,staged_support_complete
o003-c90-ch12-guide-14,o003-gvsu-ch12-act_Basis-prompt-03,o003-c90-ch12-guide-14-statement,o003-c90-ch12-guide-14-hint,o003-c90-ch12-guide-14-answer,o003-c90-ch12-guide-14-solution,staged_support_complete
o003-c90-ch12-guide-15,o003-gvsu-ch12-act_Basis-prompt-04,o003-c90-ch12-guide-15-statement,o003-c90-ch12-guide-15-hint,o003-c90-ch12-guide-15-answer,o003-c90-ch12-guide-15-solution,staged_support_complete
o003-c90-ch12-guide-16,o003-gvsu-ch12-basis-final-prompt-01,o003-c90-ch12-guide-16-statement,o003-c90-ch12-guide-16-hint,o003-c90-ch12-guide-16-answer,o003-c90-ch12-guide-16-solution,staged_support_complete
o003-c90-ch12-guide-17,o003-gvsu-ch12-basis-final-prompt-02,o003-c90-ch12-guide-17-statement,o003-c90-ch12-guide-17-hint,o003-c90-ch12-guide-17-answer,o003-c90-ch12-guide-17-solution,staged_support_complete
o003-c90-ch12-guide-18,o003-gvsu-ch12-basis-final-prompt-03,o003-c90-ch12-guide-18-statement,o003-c90-ch12-guide-18-hint,o003-c90-ch12-guide-18-answer,o003-c90-ch12-guide-18-solution,staged_support_complete
o003-c90-ch12-guide-19,o003-gvsu-ch12-basis-final-prompt-04,o003-c90-ch12-guide-19-statement,o003-c90-ch12-guide-19-hint,o003-c90-ch12-guide-19-answer,o003-c90-ch12-guide-19-solution,staged_support_complete
o003-c90-ch12-guide-20,o003-gvsu-ch12-sec_metric_top_space-prompt-01,o003-c90-ch12-guide-20-statement,o003-c90-ch12-guide-20-hint,o003-c90-ch12-guide-20-answer,o003-c90-ch12-guide-20-solution,staged_support_complete
o003-c90-ch12-guide-21,o003-gvsu-ch12-sec_neighborhood_top_space-task-01,o003-c90-ch12-guide-21-statement,o003-c90-ch12-guide-21-hint,o003-c90-ch12-guide-21-answer,o003-c90-ch12-guide-21-solution,staged_support_complete
o003-c90-ch12-guide-22,o003-gvsu-ch12-sec_neighborhood_top_space-task-02,o003-c90-ch12-guide-22-statement,o003-c90-ch12-guide-22-hint,o003-c90-ch12-guide-22-answer,o003-c90-ch12-guide-22-solution,staged_support_complete
o003-c90-ch12-guide-23,o003-gvsu-ch12-sec_neighborhood_top_space-task-03,o003-c90-ch12-guide-23-statement,o003-c90-ch12-guide-23-hint,o003-c90-ch12-guide-23-answer,o003-c90-ch12-guide-23-solution,staged_support_complete
o003-c90-ch12-guide-24,o003-gvsu-ch12-sec_neighborhood_top_space-task-04,o003-c90-ch12-guide-24-statement,o003-c90-ch12-guide-24-hint,o003-c90-ch12-guide-24-answer,o003-c90-ch12-guide-24-solution,staged_support_complete
o003-c90-ch12-guide-25,o003-gvsu-ch12-sec_neighborhood_top_space-task-05,o003-c90-ch12-guide-25-statement,o003-c90-ch12-guide-25-hint,o003-c90-ch12-guide-25-answer,o003-c90-ch12-guide-25-solution,staged_support_complete
o003-c90-ch12-guide-26,o003-gvsu-ch12-sec_interior_set_top-task-01,o003-c90-ch12-guide-26-statement,o003-c90-ch12-guide-26-hint,o003-c90-ch12-guide-26-answer,o003-c90-ch12-guide-26-solution,staged_support_complete
o003-c90-ch12-guide-27,o003-gvsu-ch12-sec_interior_set_top-task-02,o003-c90-ch12-guide-27-statement,o003-c90-ch12-guide-27-hint,o003-c90-ch12-guide-27-answer,o003-c90-ch12-guide-27-solution,staged_support_complete
o003-c90-ch12-guide-28,o003-gvsu-ch12-sec_interior_set_top-task-03,o003-c90-ch12-guide-28-statement,o003-c90-ch12-guide-28-hint,o003-c90-ch12-guide-28-answer,o003-c90-ch12-guide-28-solution,staged_support_complete
o003-c90-ch12-guide-29,o003-gvsu-ch12-sec_interior_set_top-task-04,o003-c90-ch12-guide-29-statement,o003-c90-ch12-guide-29-hint,o003-c90-ch12-guide-29-answer,o003-c90-ch12-guide-29-solution,staged_support_complete
o003-c90-ch12-guide-30,o003-gvsu-ch12-sec_interior_set_top-task-05,o003-c90-ch12-guide-30-statement,o003-c90-ch12-guide-30-hint,o003-c90-ch12-guide-30-answer,o003-c90-ch12-guide-30-solution,staged_support_complete
o003-c90-ch12-guide-31,o003-gvsu-ch12-sec_interior_set_top-task-06,o003-c90-ch12-guide-31-statement,o003-c90-ch12-guide-31-hint,o003-c90-ch12-guide-31-answer,o003-c90-ch12-guide-31-solution,staged_support_complete
o003-c90-ch12-exer-a-01,o003-gvsu-ch12-sec_top_space_exer-opening-task-01,o003-c90-ch12-exer-a-01-statement,o003-c90-ch12-exer-a-01-hint,o003-c90-ch12-exer-a-01-answer,o003-c90-ch12-exer-a-01-solution,staged_support_complete
o003-c90-ch12-exer-a-02,o003-gvsu-ch12-sec_top_space_exer-opening-task-02,o003-c90-ch12-exer-a-02-statement,o003-c90-ch12-exer-a-02-hint,o003-c90-ch12-exer-a-02-answer,o003-c90-ch12-exer-a-02-solution,staged_support_complete
o003-c90-ch12-exer-a-03,o003-gvsu-ch12-sec_top_space_exer-ex_aZ_top-task-01,o003-c90-ch12-exer-a-03-statement,o003-c90-ch12-exer-a-03-hint,o003-c90-ch12-exer-a-03-answer,o003-c90-ch12-exer-a-03-solution,staged_support_complete
o003-c90-ch12-exer-a-04,o003-gvsu-ch12-sec_top_space_exer-ex_aZ_top-task-02,o003-c90-ch12-exer-a-04-statement,o003-c90-ch12-exer-a-04-hint,o003-c90-ch12-exer-a-04-answer,o003-c90-ch12-exer-a-04-solution,staged_support_complete
o003-c90-ch12-exer-a-05,o003-gvsu-ch12-sec_top_space_exer-ex_aZ_top-task-03,o003-c90-ch12-exer-a-05-statement,o003-c90-ch12-exer-a-05-hint,o003-c90-ch12-exer-a-05-answer,o003-c90-ch12-exer-a-05-solution,staged_support_complete
o003-c90-ch12-exer-a-06,o003-gvsu-ch12-sec_top_space_exer-ex_aZ_top-task-04,o003-c90-ch12-exer-a-06-statement,o003-c90-ch12-exer-a-06-hint,o003-c90-ch12-exer-a-06-answer,o003-c90-ch12-exer-a-06-solution,staged_support_complete
o003-c90-ch12-exer-a-07,o003-gvsu-ch12-sec_top_space_exer-coset-f-task-01,o003-c90-ch12-exer-a-07-statement,o003-c90-ch12-exer-a-07-hint,o003-c90-ch12-exer-a-07-answer,o003-c90-ch12-exer-a-07-solution,staged_support_complete
o003-c90-ch12-exer-a-08,o003-gvsu-ch12-sec_top_space_exer-coset-f-task-02,o003-c90-ch12-exer-a-08-statement,o003-c90-ch12-exer-a-08-hint,o003-c90-ch12-exer-a-08-answer,o003-c90-ch12-exer-a-08-solution,staged_support_complete
o003-c90-ch12-exer-a-09,o003-gvsu-ch12-sec_top_space_exer-coset-f-task-03,o003-c90-ch12-exer-a-09-statement,o003-c90-ch12-exer-a-09-hint,o003-c90-ch12-exer-a-09-answer,o003-c90-ch12-exer-a-09-solution,staged_support_complete
o003-c90-ch12-exer-a-10,o003-gvsu-ch12-sec_top_space_exer-coset-f-task-04,o003-c90-ch12-exer-a-10-statement,o003-c90-ch12-exer-a-10-hint,o003-c90-ch12-exer-a-10-answer,o003-c90-ch12-exer-a-10-solution,staged_support_complete
o003-c90-ch12-exer-b-01,o003-gvsu-ch12-sec_top_space_exer-ex_coarse_topology_example-task-01,o003-c90-ch12-exer-b-01-statement,o003-c90-ch12-exer-b-01-hint,o003-c90-ch12-exer-b-01-answer,o003-c90-ch12-exer-b-01-solution,staged_support_complete
o003-c90-ch12-exer-b-02,o003-gvsu-ch12-sec_top_space_exer-ex_coarse_topology_example-task-02,o003-c90-ch12-exer-b-02-statement,o003-c90-ch12-exer-b-02-hint,o003-c90-ch12-exer-b-02-answer,o003-c90-ch12-exer-b-02-solution,staged_support_complete
o003-c90-ch12-exer-b-03,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-01,o003-c90-ch12-exer-b-03-statement,o003-c90-ch12-exer-b-03-hint,o003-c90-ch12-exer-b-03-answer,o003-c90-ch12-exer-b-03-solution,staged_support_complete
o003-c90-ch12-exer-b-04,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-02,o003-c90-ch12-exer-b-04-statement,o003-c90-ch12-exer-b-04-hint,o003-c90-ch12-exer-b-04-answer,o003-c90-ch12-exer-b-04-solution,staged_support_complete
o003-c90-ch12-exer-b-05,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-03,o003-c90-ch12-exer-b-05-statement,o003-c90-ch12-exer-b-05-hint,o003-c90-ch12-exer-b-05-answer,o003-c90-ch12-exer-b-05-solution,staged_support_complete
o003-c90-ch12-exer-b-06,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-04,o003-c90-ch12-exer-b-06-statement,o003-c90-ch12-exer-b-06-hint,o003-c90-ch12-exer-b-06-answer,o003-c90-ch12-exer-b-06-solution,staged_support_complete
o003-c90-ch12-exer-b-07,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-05,o003-c90-ch12-exer-b-07-statement,o003-c90-ch12-exer-b-07-hint,o003-c90-ch12-exer-b-07-answer,o003-c90-ch12-exer-b-07-solution,staged_support_complete
o003-c90-ch12-exer-b-08,o003-gvsu-ch12-sec_top_space_exer-finite_minimal_basis-task-01,o003-c90-ch12-exer-b-08-statement,o003-c90-ch12-exer-b-08-hint,o003-c90-ch12-exer-b-08-answer,o003-c90-ch12-exer-b-08-solution,staged_support_complete
o003-c90-ch12-exer-b-09,o003-gvsu-ch12-sec_top_space_exer-finite_minimal_basis-task-02,o003-c90-ch12-exer-b-09-statement,o003-c90-ch12-exer-b-09-hint,o003-c90-ch12-exer-b-09-answer,o003-c90-ch12-exer-b-09-solution,staged_support_complete
o003-c90-ch12-exer-b-10,o003-gvsu-ch12-sec_top_space_exer-finite_minimal_basis-task-03,o003-c90-ch12-exer-b-10-statement,o003-c90-ch12-exer-b-10-hint,o003-c90-ch12-exer-b-10-answer,o003-c90-ch12-exer-b-10-solution,staged_support_complete
o003-c90-ch12-exer-c-01,o003-gvsu-ch12-sec_top_space_exer-finite_minimal_basis-task-04,o003-c90-ch12-exer-c-01-statement,o003-c90-ch12-exer-c-01-hint,o003-c90-ch12-exer-c-01-answer,o003-c90-ch12-exer-c-01-solution,staged_support_complete
o003-c90-ch12-exer-c-02,o003-gvsu-ch12-sec_top_space_exer-topology_chains-task-01,o003-c90-ch12-exer-c-02-statement,o003-c90-ch12-exer-c-02-hint,o003-c90-ch12-exer-c-02-answer,o003-c90-ch12-exer-c-02-solution,staged_support_complete
o003-c90-ch12-exer-c-03,o003-gvsu-ch12-sec_top_space_exer-finite_topologies-task-01,o003-c90-ch12-exer-c-03-statement,o003-c90-ch12-exer-c-03-hint,o003-c90-ch12-exer-c-03-answer,o003-c90-ch12-exer-c-03-solution,staged_support_complete
o003-c90-ch12-exer-c-04,o003-gvsu-ch12-sec_top_space_exer-finite_topologies-task-02,o003-c90-ch12-exer-c-04-statement,o003-c90-ch12-exer-c-04-hint,o003-c90-ch12-exer-c-04-answer,o003-c90-ch12-exer-c-04-solution,staged_support_complete
o003-c90-ch12-exer-c-05,o003-gvsu-ch12-sec_top_space_exer-finite_topologies-task-03,o003-c90-ch12-exer-c-05-statement,o003-c90-ch12-exer-c-05-hint,o003-c90-ch12-exer-c-05-answer,o003-c90-ch12-exer-c-05-solution,staged_support_complete
o003-c90-ch12-exer-d-01,o003-gvsu-ch12-sec_top_space_exer-tail_topology-direct-01,o003-c90-ch12-exer-d-01-statement,o003-c90-ch12-exer-d-01-hint,o003-c90-ch12-exer-d-01-answer,o003-c90-ch12-exer-d-01-solution,staged_support_complete
o003-c90-ch12-exer-d-02,o003-gvsu-ch12-sec_top_space_exer-interior_laws-direct-01,o003-c90-ch12-exer-d-02-statement,o003-c90-ch12-exer-d-02-hint,o003-c90-ch12-exer-d-02-answer,o003-c90-ch12-exer-d-02-solution,staged_support_complete
o003-c90-ch12-exer-d-03,o003-gvsu-ch12-ex_particular_point_topology-direct-01,o003-c90-ch12-exer-d-03-statement,o003-c90-ch12-exer-d-03-hint,o003-c90-ch12-exer-d-03-answer,o003-c90-ch12-exer-d-03-solution,staged_support_complete
o003-c90-ch12-exer-d-04,o003-gvsu-ch12-ex_excluded_point_topology-direct-01,o003-c90-ch12-exer-d-04-statement,o003-c90-ch12-exer-d-04-hint,o003-c90-ch12-exer-d-04-answer,o003-c90-ch12-exer-d-04-solution,staged_support_complete
o003-c90-ch12-exer-e-01,o003-gvsu-ch12-ex_digital_line_topology-task-01,o003-c90-ch12-exer-e-01-statement,o003-c90-ch12-exer-e-01-hint,o003-c90-ch12-exer-e-01-answer,o003-c90-ch12-exer-e-01-solution,staged_support_complete
o003-c90-ch12-exer-e-02,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-01,o003-c90-ch12-exer-e-02-statement,o003-c90-ch12-exer-e-02-hint,o003-c90-ch12-exer-e-02-answer,o003-c90-ch12-exer-e-02-solution,staged_support_complete
o003-c90-ch12-exer-e-03,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-02,o003-c90-ch12-exer-e-03-statement,o003-c90-ch12-exer-e-03-hint,o003-c90-ch12-exer-e-03-answer,o003-c90-ch12-exer-e-03-solution,staged_support_complete
o003-c90-ch12-exer-e-04,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-03,o003-c90-ch12-exer-e-04-statement,o003-c90-ch12-exer-e-04-hint,o003-c90-ch12-exer-e-04-answer,o003-c90-ch12-exer-e-04-solution,staged_support_complete
o003-c90-ch12-exer-e-05,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-04,o003-c90-ch12-exer-e-05-statement,o003-c90-ch12-exer-e-05-hint,o003-c90-ch12-exer-e-05-answer,o003-c90-ch12-exer-e-05-solution,staged_support_complete
o003-c90-ch12-exer-e-06,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-05,o003-c90-ch12-exer-e-06-statement,o003-c90-ch12-exer-e-06-hint,o003-c90-ch12-exer-e-06-answer,o003-c90-ch12-exer-e-06-solution,staged_support_complete
o003-c90-ch12-exer-e-07,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-06,o003-c90-ch12-exer-e-07-statement,o003-c90-ch12-exer-e-07-hint,o003-c90-ch12-exer-e-07-answer,o003-c90-ch12-exer-e-07-solution,staged_support_complete
o003-c90-ch12-exer-f-01,o003-gvsu-ch12-ex_TS_Zariski-task-01,o003-c90-ch12-exer-f-01-statement,o003-c90-ch12-exer-f-01-hint,o003-c90-ch12-exer-f-01-answer,o003-c90-ch12-exer-f-01-solution,staged_support_complete
o003-c90-ch12-exer-f-02,o003-gvsu-ch12-ex_TS_Zariski-task-02,o003-c90-ch12-exer-f-02-statement,o003-c90-ch12-exer-f-02-hint,o003-c90-ch12-exer-f-02-answer,o003-c90-ch12-exer-f-02-solution,staged_support_complete
o003-c90-ch12-exer-f-03,o003-gvsu-ch12-ex_TS_Zariski-task-03,o003-c90-ch12-exer-f-03-statement,o003-c90-ch12-exer-f-03-hint,o003-c90-ch12-exer-f-03-answer,o003-c90-ch12-exer-f-03-solution,staged_support_complete
o003-c90-ch12-exer-f-04,o003-gvsu-ch12-ex_TS_Zariski-task-04,o003-c90-ch12-exer-f-04-statement,o003-c90-ch12-exer-f-04-hint,o003-c90-ch12-exer-f-04-answer,o003-c90-ch12-exer-f-04-solution,staged_support_complete
o003-c90-ch12-exer-f-05,o003-gvsu-ch12-ex_TS_Zariski-task-05,o003-c90-ch12-exer-f-05-statement,o003-c90-ch12-exer-f-05-hint,o003-c90-ch12-exer-f-05-answer,o003-c90-ch12-exer-f-05-solution,staged_support_complete
o003-c90-ch12-exer-g-01,o003-gvsu-ch12-sec_top_space_exer-true_false-task-01,o003-c90-ch12-exer-g-01-statement,o003-c90-ch12-exer-g-01-hint,o003-c90-ch12-exer-g-01-answer,o003-c90-ch12-exer-g-01-solution,staged_support_complete
o003-c90-ch12-exer-g-02,o003-gvsu-ch12-sec_top_space_exer-true_false-task-02,o003-c90-ch12-exer-g-02-statement,o003-c90-ch12-exer-g-02-hint,o003-c90-ch12-exer-g-02-answer,o003-c90-ch12-exer-g-02-solution,staged_support_complete
o003-c90-ch12-exer-g-03,o003-gvsu-ch12-sec_top_space_exer-true_false-task-03,o003-c90-ch12-exer-g-03-statement,o003-c90-ch12-exer-g-03-hint,o003-c90-ch12-exer-g-03-answer,o003-c90-ch12-exer-g-03-solution,staged_support_complete
o003-c90-ch12-exer-g-04,o003-gvsu-ch12-sec_top_space_exer-true_false-task-04,o003-c90-ch12-exer-g-04-statement,o003-c90-ch12-exer-g-04-hint,o003-c90-ch12-exer-g-04-answer,o003-c90-ch12-exer-g-04-solution,staged_support_complete
o003-c90-ch12-exer-g-05,o003-gvsu-ch12-sec_top_space_exer-true_false-task-05,o003-c90-ch12-exer-g-05-statement,o003-c90-ch12-exer-g-05-hint,o003-c90-ch12-exer-g-05-answer,o003-c90-ch12-exer-g-05-solution,staged_support_complete
o003-c90-ch12-exer-g-06,o003-gvsu-ch12-sec_top_space_exer-true_false-task-06,o003-c90-ch12-exer-g-06-statement,o003-c90-ch12-exer-g-06-hint,o003-c90-ch12-exer-g-06-answer,o003-c90-ch12-exer-g-06-solution,staged_support_complete
o003-c90-ch12-exer-g-07,o003-gvsu-ch12-sec_top_space_exer-true_false-task-07,o003-c90-ch12-exer-g-07-statement,o003-c90-ch12-exer-g-07-hint,o003-c90-ch12-exer-g-07-answer,o003-c90-ch12-exer-g-07-solution,staged_support_complete
