sequence,entry_id,entry_type,license,source_anchor,companion_anchor,statement_id,hint_id,answer_id,solution_id,status
14,o003-c90-ch15-guide-14,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_open_int_rn-task-03,o003-c90-ch15-guide-14,o003-c90-ch15-guide-14,o003-c90-ch15-guide-14-hint,o003-c90-ch15-guide-14-answer,o003-c90-ch15-guide-14-solution,staged_support_complete
15,o003-c90-ch15-guide-15,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_open_int_rn-task-04,o003-c90-ch15-guide-15,o003-c90-ch15-guide-15,o003-c90-ch15-guide-15-hint,o003-c90-ch15-guide-15-answer,o003-c90-ch15-guide-15-solution,staged_support_complete
16,o003-c90-ch15-guide-16,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_open_int_rn-task-05,o003-c90-ch15-guide-16,o003-c90-ch15-guide-16,o003-c90-ch15-guide-16-hint,o003-c90-ch15-guide-16-answer,o003-c90-ch15-guide-16-solution,staged_support_complete
17,o003-c90-ch15-exer-a-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-statement-01,o003-c90-ch15-exer-a-01,o003-c90-ch15-exer-a-01,o003-c90-ch15-exer-a-01-hint,o003-c90-ch15-exer-a-01-answer,o003-c90-ch15-exer-a-01-solution,staged_support_complete
18,o003-c90-ch15-exer-a-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-statement-02,o003-c90-ch15-exer-a-02,o003-c90-ch15-exer-a-02,o003-c90-ch15-exer-a-02-hint,o003-c90-ch15-exer-a-02-answer,o003-c90-ch15-exer-a-02-solution,staged_support_complete
19,o003-c90-ch15-exer-a-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-01,o003-c90-ch15-exer-a-03,o003-c90-ch15-exer-a-03,o003-c90-ch15-exer-a-03-hint,o003-c90-ch15-exer-a-03-answer,o003-c90-ch15-exer-a-03-solution,staged_support_complete
20,o003-c90-ch15-exer-a-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-02,o003-c90-ch15-exer-a-04,o003-c90-ch15-exer-a-04,o003-c90-ch15-exer-a-04-hint,o003-c90-ch15-exer-a-04-answer,o003-c90-ch15-exer-a-04-solution,staged_support_complete
21,o003-c90-ch15-exer-a-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-ex_R_intervals-statement-01,o003-c90-ch15-exer-a-05,o003-c90-ch15-exer-a-05,o003-c90-ch15-exer-a-05-hint,o003-c90-ch15-exer-a-05-answer,o003-c90-ch15-exer-a-05-solution,staged_support_complete
22,o003-c90-ch15-exer-a-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-03,o003-c90-ch15-exer-a-06,o003-c90-ch15-exer-a-06,o003-c90-ch15-exer-a-06-hint,o003-c90-ch15-exer-a-06-answer,o003-c90-ch15-exer-a-06-solution,staged_support_complete
23,o003-c90-ch15-exer-a-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-04,o003-c90-ch15-exer-a-07,o003-c90-ch15-exer-a-07,o003-c90-ch15-exer-a-07-hint,o003-c90-ch15-exer-a-07-answer,o003-c90-ch15-exer-a-07-solution,staged_support_complete
24,o003-c90-ch15-exer-a-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-statement-03,o003-c90-ch15-exer-a-08,o003-c90-ch15-exer-a-08,o003-c90-ch15-exer-a-08-hint,o003-c90-ch15-exer-a-08-answer,o003-c90-ch15-exer-a-08-solution,staged_support_complete
25,o003-c90-ch15-exer-a-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-statement-04,o003-c90-ch15-exer-a-09,o003-c90-ch15-exer-a-09,o003-c90-ch15-exer-a-09-hint,o003-c90-ch15-exer-a-09-answer,o003-c90-ch15-exer-a-09-solution,staged_support_complete
26,o003-c90-ch15-exer-a-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-05,o003-c90-ch15-exer-a-10,o003-c90-ch15-exer-a-10,o003-c90-ch15-exer-a-10-hint,o003-c90-ch15-exer-a-10-answer,o003-c90-ch15-exer-a-10-solution,staged_support_complete
27,o003-c90-ch15-exer-b-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-06,o003-c90-ch15-exer-b-01,o003-c90-ch15-exer-b-01,o003-c90-ch15-exer-b-01-hint,o003-c90-ch15-exer-b-01-answer,o003-c90-ch15-exer-b-01-solution,staged_support_complete
28,o003-c90-ch15-exer-b-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-07,o003-c90-ch15-exer-b-02,o003-c90-ch15-exer-b-02,o003-c90-ch15-exer-b-02-hint,o003-c90-ch15-exer-b-02-answer,o003-c90-ch15-exer-b-02-solution,staged_support_complete
29,o003-c90-ch15-exer-b-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-08,o003-c90-ch15-exer-b-03,o003-c90-ch15-exer-b-03,o003-c90-ch15-exer-b-03-hint,o003-c90-ch15-exer-b-03-answer,o003-c90-ch15-exer-b-03-solution,staged_support_complete
30,o003-c90-ch15-exer-b-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch15-sec_sub_exer-task-09,o003-c90-ch15-exer-b-04,o003-c90-ch15-exer-b-04,o003-c90-ch15-exer-b-04-hint,o003-c90-ch15-exer-b-04-answer,o003-c90-ch15-exer-b-04-solution,staged_support_complete
31,o003-c90-ch15-mastery-01,original_mastery,CC BY 4.0,,o003-c90-ch15-mastery-01,o003-c90-ch15-mastery-01,o003-c90-ch15-mastery-01-hint,o003-c90-ch15-mastery-01-answer,o003-c90-ch15-mastery-01-solution,staged_support_complete
32,o003-c90-ch15-mastery-02,original_mastery,CC BY 4.0,,o003-c90-ch15-mastery-02,o003-c90-ch15-mastery-02,o003-c90-ch15-mastery-02-hint,o003-c90-ch15-mastery-02-answer,o003-c90-ch15-mastery-02-solution,staged_support_complete
33,o003-c90-ch15-mastery-03,original_mastery,CC BY 4.0,,o003-c90-ch15-mastery-03,o003-c90-ch15-mastery-03,o003-c90-ch15-mastery-03-hint,o003-c90-ch15-mastery-03-answer,o003-c90-ch15-mastery-03-solution,staged_support_complete
34,o003-c90-ch15-mastery-04,original_mastery,CC BY 4.0,,o003-c90-ch15-mastery-04,o003-c90-ch15-mastery-04,o003-c90-ch15-mastery-04-hint,o003-c90-ch15-mastery-04-answer,o003-c90-ch15-mastery-04-solution,staged_support_complete
35,o003-c90-ch15-mastery-05,original_mastery,CC BY 4.0,,o003-c90-ch15-mastery-05,o003-c90-ch15-mastery-05,o003-c90-ch15-mastery-05-hint,o003-c90-ch15-mastery-05-answer,o003-c90-ch15-mastery-05-solution,staged_support_complete
36,o003-c90-ch15-mastery-06,original_mastery,CC BY 4.0,,o003-c90-ch15-mastery-06,o003-c90-ch15-mastery-06,o003-c90-ch15-mastery-06-hint,o003-c90-ch15-mastery-06-answer,o003-c90-ch15-mastery-06-solution,staged_support_complete
37,o003-c90-ch15-mastery-07,original_mastery,CC BY 4.0,,o003-c90-ch15-mastery-07,o003-c90-ch15-mastery-07,o003-c90-ch15-mastery-07-hint,o003-c90-ch15-mastery-07-answer,o003-c90-ch15-mastery-07-solution,staged_support_complete
38,o003-c90-ch15-mastery-08,original_mastery,CC BY 4.0,,o003-c90-ch15-mastery-08,o003-c90-ch15-mastery-08,o003-c90-ch15-mastery-08-hint,o003-c90-ch15-mastery-08-answer,o003-c90-ch15-mastery-08-solution,staged_support_complete
